id_cli,nom_cli,loc_cli,email_cli
1001,Dalenna Bleier,Zengtian,dbleier0@sciencedirect.com
1002,Kleon Caroli,Lerrnanist,kcaroli1@purevolume.com
1003,Tracie Starrs,Kitcharao,tstarrs2@gnu.org
1004,Frayda Whatmough,Huangcai,fwhatmough3@walmart.com
1005,Ody Jovicic,Broniszewice,ojovicic4@indiegogo.com
1006,Kristofer Snalham,Vänersborg,ksnalham5@loc.gov
1007,Florentia Silversmidt,Wajir,fsilversmidt6@geocities.com
1008,Robb Lefort,Slobozia,rlefort7@usa.gov
1009,Rex Piercy,Kafr Thulth,rpiercy8@comsenz.com
1010,Meredith Bineham,Raškovice,mbineham9@senate.gov
1011,Christoforo Bratten,El Pardo,cbrattena@163.com
1012,Mateo Powner,Loma,mpownerb@theguardian.com
1013,Romona Dundridge,Hongor,rdundridgec@webs.com
1014,Barth Kennedy,Meringkik,bkennedyd@mapquest.com
1015,Keenan Odde,Ipoh,koddee@tripod.com
1016,Flem Pesik,Vaggeryd,fpesikf@privacy.gov.au
1017,Joycelin Mariner,Baie-D'Urfé,jmarinerg@tripadvisor.com
1018,Immanuel Marfe,Megáli Khóra,imarfeh@technorati.com
1019,Madelyn Oakland,Chambishi,moaklandi@ehow.com
1020,Kylie Crebott,Pinyug,kcrebottj@washington.edu
1021,Hertha Oury,Skalánion,houryk@ihg.com
1022,Joaquin Seeks,Matmata,jseeksl@tripadvisor.com
1023,Danya Corsham,Chur,dcorshamm@oracle.com
1024,Reuben Sambles,Aydūn,rsamblesn@yandex.ru
1025,Sully Nielson,Hengbanqiao,snielsono@kickstarter.com
1026,Hestia Greendale,Shipka,hgreendalep@zdnet.com
1027,Feodor McCarroll,Bai’e,fmccarrollq@alexa.com
1028,Rouvin Bowgen,Sinait,rbowgenr@paypal.com
1029,Francoise Ullyott,Padina,fullyotts@livejournal.com
1030,Tine Garza,Citeureup,tgarzat@privacy.gov.au
1031,Marcus Houseago,Tarxien,mhouseagou@sourceforge.net
1032,Celinka Mallison,Taoyuan,cmallisonv@webs.com
1033,Cissiee Crolly,Atlanta,ccrollyw@sciencedaily.com
1034,Stavro Tassell,Salimbalan,stassellx@prlog.org
1035,Chris Weddup,Lanta Timur,cweddupy@jigsy.com
1036,Isacco Dawkins,Hongxing,idawkinsz@infoseek.co.jp
1037,Brigg Catlin,Châlons-en-Champagne,bcatlin10@creativecommons.org
1038,Blythe Berndsen,Nuevo Arraiján,bberndsen11@networksolutions.com
1039,Jerry Saggs,Cigembor,jsaggs12@cam.ac.uk
1040,Mei Hanby,Staraya Toropa,mhanby13@bizjournals.com
1041,Free Bygate,Colendra,fbygate14@cocolog-nifty.com
1042,Elsie Simonou,Svislach,esimonou15@reference.com
1043,My Foot,Pancol,mfoot16@list-manage.com
1044,Antonius Aspling,Cayenne,aaspling17@bloglovin.com
1045,Garvy Seniour,Cijayana,gseniour18@arstechnica.com
1046,Christal Pollins,Bělá pod Bezdězem,cpollins19@shutterfly.com
1047,Erwin Darling,Baniachang,edarling1a@reuters.com
1048,Hyman Kaindl,Avellaneda,hkaindl1b@noaa.gov
1049,Horst Diggles,Villa Nueva,hdiggles1c@npr.org
1050,Janis Gniewosz,Rostov,jgniewosz1d@state.gov
51,Pepe,Merlo,pepe@gmail.com
